siteID,collectDate,NH4_mgL,NIT_mgL,SRP_mgL,TN_mgL,TP_mgL
TOOK,2017-08-01,0.067625,0.0511,0.035500000000000004,0.231825,0.01325
TOOK,2017-09-01,0.0129,0.03546666666666667,0.023,0.12583333333333332,0.005666666666666667
TOOK,2017-11-01,0.1213,0.6092,0.015,0.1478,0.005
TOOK,2017-12-01,0.1229,0.0104,0.008,NA,0.01
TOOK,2018-01-01,0.1205,0.0394,0.035,NA,NA
TOOK,2018-02-01,0.1047,0.0297,0.089,0.1317,0.003
TOOK,2018-03-01,0.00615,0.037033333333333335,0.004333333333333333,0.24656666666666666,0.008666666666666666
TOOK,2018-04-01,NA,0.0776,0.079,0.3035,0.2137
TOOK,2018-05-01,0.0322,0.0433,0.031,0.472,0.1313
TOOK,2018-06-01,0.016733333333333333,0.0193,0.011,0.1771,0.03283333333333333
TOOK,2018-07-01,0.0104,0.01445,0.0125,0.3306,0.0755
TOOK,2018-08-01,0.027325,0.02315,0.2875,0.18855,0.009000000000000001
TOOK,2018-09-01,0.023466666666666667,0.0364,0.06666666666666667,0.09233333333333332,0.004666666666666666
TOOK,2018-10-01,0.0154,0.05773333333333333,0.028,0.14523333333333333,0.045766666666666664
TOOK,2018-11-01,NA,0.1093,0.009000000000000001,0.26963333333333334,0.030433333333333333
TOOK,2018-12-01,0.060533333333333335,NA,0.16366666666666668,0.27903333333333336,0.014
TOOK,2019-02-01,0.0725,NA,0.15,0.3122,0.0327
TOOK,2019-03-01,0.0745,NA,0.049,0.2577666666666667,0.175
TOOK,2019-04-01,0.1029,NA,0.03233333333333333,0.5024333333333333,0.12466666666666666
TOOK,2019-05-01,0.04116666666666667,0.059399999999999994,0.03133333333333333,0.24280000000000002,0.15213333333333334
TOOK,2019-06-01,0.06046666666666667,0.0121,0.036166666666666666,0.22528333333333334,0.1754
TOOK,2019-07-01,0.0254875,0.018775,0.027200000000000002,0.2236,0.11535
TOOK,2019-08-01,0.04108571428571428,0.0172,0.0305,0.196125,0.100775
TOOK,2019-09-01,0.0019333333333333333,0.023433333333333334,NA,NA,0.11708333333333333
TOOK,2019-10-01,0.01725,0.046400000000000004,0.047,0.2294,0.0298
TOOK,2019-11-01,0.17577500000000001,0.019425,0.185,0.15086666666666668,0.22145
TOOK,2019-12-01,0.0275,0.0078,0.0086,0.1762,0.009
TOOK,2020-02-01,0.08293333333333333,0.038066666666666665,0.0169,0.36033333333333334,0.017
TOOK,2020-03-01,0.0333,0.0567,0.0318,NA,0.021
TOOK,2020-06-01,0.0015,0.03255,0,0.23538333333333333,0.008133333333333333
TOOK,2020-07-01,0.0013,0.0198,NA,0.2227,0.0072250000000000005
TOOK,2020-08-01,0.0038,0.0204,4.5e-4,0.252075,0.009075
TOOK,2020-09-01,0.00114,0.0073999999999999995,NA,0.22799090909090908,0.0078000000000000005
TOOK,2020-11-01,0.0093,0.016,2e-4,0.2375,0.0056
TOOK,2020-12-01,0.0169,0.0188,1e-4,0.411,0.0082
TOOK,2021-02-01,0.0073,0.0393,0,0.3531,0.0102
TOOK,2021-03-01,9.666666666666667e-4,0.05503333333333334,NA,0.2603333333333333,0.0086
TOOK,2021-04-01,0.0016,0.0617,NA,0.2871,0.0064
TOOK,2021-05-01,0.0084,0.043366666666666664,2e-4,0.2798333333333333,0.013933333333333334
TOOK,2021-06-01,0.004744444444444444,0.02055,2.1666666666666668e-4,0.21486666666666668,0.012455555555555555
TOOK,2021-07-01,0.0031,0.01065,1.9999999999999998e-4,0.14315,0.008175
TOOK,2021-08-01,0.00445,0.010333333333333333,3e-4,0.13555,0.009775
TOOK,2021-09-01,6.000000000000001e-4,0.009366666666666667,NA,0.1744,0.0097
TOOK,2021-10-01,0.00125,0.0601,NA,0.2137,0.00835
TOOK,2021-11-01,0.0114,0.0051,NA,0.2538,0.0337
TOOK,2021-12-01,0.0175,0.0035,NA,0.2168,0.0074
TOOK,2022-01-01,0.0172,0.0177,NA,NA,0.0072
TOOK,2022-03-01,0.0023,0.0407,NA,0.1868,0.0081
TOOK,2022-04-01,0.0029,NA,0,0.3283,0.0078
TOOK,2022-05-01,0.008033333333333333,0.0218,7.75e-4,0.38545,0.013966666666666667
TOOK,2022-06-01,0.0022727272727272726,0.012672727272727273,9.999999999999999e-5,0.21009090909090908,0.0084
TOOK,2022-07-01,0.001575,0.007825,2e-4,0.19075,0.0059125
TOOK,2022-08-01,1e-4,0.014400000000000001,2e-4,0.18223333333333333,0.0114
TOOK,2022-09-01,0.0016,0.015300000000000001,NA,0.20323333333333335,0.007866666666666668
TOOK,2022-10-01,0.0011,0.043149999999999994,NA,0.21134999999999998,0.011349999999999999
TOOK,2022-11-01,0.0055,0.0018,NA,0.1056,0.0114
TOOK,2022-12-01,0.0463,0.0109,0.0029,0.2634,0.0048
TOOK,2023-02-01,0.0154,0.0222,6e-4,0.2211,0.0087
TOOK,2023-03-01,0.006966666666666667,0.032966666666666665,0.0013333333333333333,0.33793333333333336,0.0077666666666666665
TOOK,2023-04-01,0.0394,0.0401,4e-4,0.2311,0.0055
TOOK,2023-05-01,0.012240000000000001,0.0251,4.4e-4,0.28326,0.014839999999999999
TOOK,2023-06-01,0.01124,0.01452,0.005025,0.24814,0.00878
TOOK,2023-07-01,0.011025,0.00625,NA,0.251775,0.007
TOOK,2023-08-01,0.007175,0.014025,2e-4,0.244675,0.0081
TOOK,2023-09-01,0.004966666666666667,0.033,1.9999999999999998e-4,0.22866666666666666,0.006966666666666667
TOOK,2023-10-01,0.0054,0.06445000000000001,0.0013,0.34104999999999996,0.0060999999999999995
