siteID,mean_TN_Con_mgL,mean_TP_Con_mgL,mean_NH4_Con_mgL,mean_OrthoP_Con_mgL,mean_NO3NO2_Con_mgL,collectYear,collectMonth
CRAM,NA,NA,NA,NA,0.0065,2022,11
CRAM,NA,NA,NA,9e-4,NA,2023,2
CRAM,NA,NA,NA,1e-4,0.0125,2023,3
CRAM,NA,NA,0.0662,NA,0.0203,2023,4
CRAM,0.3831,NA,NA,NA,NA,2023,5
CRAM,NA,NA,NA,3e-4,NA,2023,6
CRAM,NA,0.019,NA,0.0017,0.0562,2023,6
CRAM,0.3006,NA,NA,NA,NA,2023,7
CRAM,NA,0.0215,NA,NA,NA,2023,7
CRAM,0.5591,NA,NA,NA,0.0013,2023,8
CRAM,NA,NA,NA,0.0012,NA,2023,10
CRAM,NA,NA,0.3094,NA,NA,2023,10
CRAM,NA,0.0093,NA,0.0022,NA,2023,10
CRAM,NA,0.0359,NA,0.0068,NA,2023,10
PRLA,2.75,0.118,NA,NA,NA,2014,5
PRLA,NA,NA,0.037,NA,NA,2016,10
PRLA,NA,NA,0.04,NA,0.034,2016,10
PRLA,NA,NA,0.348,0.02,0.15,2016,11
PRLA,NA,NA,NA,0.043,NA,2016,12
PRLA,NA,NA,NA,0.126,NA,2017,2
PRLA,NA,0.003,NA,NA,NA,2017,3
PRLA,NA,0.008,NA,NA,NA,2017,4
PRLA,NA,0.013,0.235,0.02,NA,2017,4
PRLA,NA,NA,0.046,NA,NA,2017,5
PRLA,NA,0.008,NA,0.014,0.014,2017,5
PRLA,NA,0.143,NA,0.004,0.015,2017,6
PRLA,3.876,NA,NA,0.015,NA,2017,6
PRLA,NA,0.2155,NA,NA,0.009,2017,7
PRLA,NA,0.2184,0.044,0.046,NA,2017,7
PRLA,NA,0.3927,NA,NA,NA,2017,8
PRLA,NA,NA,0.0133,NA,NA,2017,9
PRLA,NA,NA,NA,0.023,NA,2017,9
PRLA,NA,NA,0.1088,NA,NA,2017,10
PRLA,3.983,NA,NA,NA,NA,2017,10
PRLA,NA,NA,NA,NA,0.0144,2017,10
PRLA,NA,NA,NA,NA,0.0232,2017,11
PRLA,NA,NA,NA,0.02,NA,2017,11
PRLA,NA,0.3035,NA,0.016,NA,2018,5
PRLA,5.191,NA,NA,NA,NA,2018,7
PRLA,NA,NA,NA,2.218,NA,2018,8
PRLA,NA,NA,NA,0.029,NA,2018,10
PRLA,NA,NA,0.185,NA,NA,2018,10
PRLA,NA,0.3547,NA,NA,NA,2018,12
PRLA,NA,NA,1.7878,0.094,NA,2019,7
PRLA,NA,0.352,2.5827,NA,NA,2019,8
PRLA,NA,0.37395,0.394,NA,0.6754,2019,9
PRLA,NA,NA,0.0903,0.124,NA,2019,10
PRLA,2.678,0.191,0.0968,0.15315,0.2893,2019,12
PRLA,NA,0.358,NA,NA,NA,2020,1
PRLA,NA,NA,NA,NA,0.2395,2020,2
PRLA,NA,0.31,0.192,0.2536,0.1606,2020,3
PRLA,NA,0.2808,NA,NA,NA,2020,6
PRLA,NA,0.4063,0.0066,NA,NA,2020,6
PRLA,NA,NA,0.119,NA,0.0013,2020,8
PRLA,NA,NA,0.0955,NA,NA,2020,9
PRLA,4,0.2441,NA,0.0156,NA,2021,1
PRLA,NA,NA,NA,NA,3e-4,2021,2
PRLA,4.936,NA,NA,0.0445,NA,2021,8
PRLA,NA,NA,NA,0.0041,NA,2021,10
PRLA,NA,0.2281,NA,NA,NA,2022,1
PRLA,5.818,0.2883,0.9667,NA,0.0042,2022,2
PRLA,NA,NA,0.1961,0.0038,NA,2022,3
PRLA,NA,NA,0.0078,NA,NA,2022,4
PRLA,NA,0.266,NA,NA,4e-4,2022,6
PRLA,NA,0.35,NA,0.0479,NA,2022,7
PRLA,NA,NA,0.0157,NA,NA,2022,9
PRLA,NA,NA,NA,0.004,NA,2022,10
PRLA,NA,0.1874,NA,NA,NA,2022,11
PRLA,NA,NA,0.1655,NA,NA,2022,11
PRLA,6.841,NA,NA,0.1513,NA,2023,2
PRLA,7.821,0.4191,NA,NA,NA,2023,3
PRLA,NA,0.156,NA,NA,NA,2023,5
PRLA,NA,NA,0.0186,NA,NA,2023,6
PRLA,NA,0.1546,NA,NA,NA,2023,6
PRLA,3.542,NA,0.0121,NA,NA,2023,8
TOOK,NA,NA,NA,NA,0.038,2016,11
TOOK,NA,0.002,0.055,NA,NA,2016,12
TOOK,NA,0.004,NA,NA,NA,2017,2
TOOK,0.2045,NA,NA,0.005,NA,2017,6
TOOK,NA,NA,NA,NA,0.012,2017,6
TOOK,0.2352,NA,NA,NA,NA,2017,6
TOOK,NA,NA,NA,NA,0.094,2017,6
TOOK,NA,NA,NA,NA,0.125,2017,7
TOOK,0.2522,0.011,NA,NA,NA,2017,7
TOOK,NA,NA,0.072,NA,NA,2017,7
TOOK,0.2037,NA,NA,NA,NA,2017,8
TOOK,NA,NA,NA,0.036,0.0475,2017,8
TOOK,NA,0.018,NA,NA,NA,2017,8
TOOK,0.124,NA,0.026,NA,NA,2017,9
TOOK,NA,NA,0.1205,NA,0.0394,2018,1
TOOK,NA,NA,NA,0.089,NA,2018,2
TOOK,0.2472,0.008,0.0105,NA,NA,2018,3
TOOK,0.472,NA,NA,NA,NA,2018,5
TOOK,0.0706,NA,NA,NA,NA,2018,6
TOOK,0.1937,NA,NA,0.013,NA,2018,6
TOOK,NA,NA,NA,NA,0.0183,2018,6
TOOK,NA,0.089,NA,NA,NA,2018,7
TOOK,NA,NA,NA,0.011,0.0135,2018,7
TOOK,NA,NA,NA,0.011,NA,2018,8
TOOK,0.1577,NA,0.0188,NA,NA,2018,8
TOOK,NA,NA,NA,1.117,NA,2018,8
TOOK,NA,0.001,NA,NA,NA,2018,9
TOOK,NA,0.004,NA,0.169,NA,2018,9
TOOK,NA,NA,0.0089,NA,NA,2018,10
TOOK,NA,NA,0.0172,NA,0.0485,2018,10
TOOK,0.2908,0.015,NA,0.1,NA,2018,12
TOOK,NA,NA,0.0725,NA,NA,2019,2
TOOK,NA,0.171,NA,NA,NA,2019,3
TOOK,NA,NA,NA,0.036,NA,2019,5
TOOK,NA,0.1384,0.0671,NA,NA,2019,5
TOOK,0.2349,NA,NA,NA,NA,2019,6
TOOK,NA,NA,0.0508,NA,0.0219,2019,7
TOOK,NA,0.0051,NA,NA,NA,2019,7
TOOK,NA,0.0083,NA,NA,NA,2019,7
TOOK,0.2048,0.256,NA,NA,0.0406,2019,8
TOOK,NA,NA,0.0014,NA,NA,2019,8
TOOK,NA,NA,NA,0.029,NA,2019,8
TOOK,NA,NA,8e-4,NA,0.0113,2019,8
TOOK,NA,NA,0.0015,NA,NA,2019,9
TOOK,0.242,NA,NA,0.052,NA,2019,10
TOOK,NA,0.0066,NA,NA,NA,2019,10
TOOK,NA,NA,0.0252,0.053,NA,2019,10
TOOK,NA,0.0068,0.6237,0.416,0.021,2019,11
TOOK,NA,NA,0.0275,NA,NA,2019,12
TOOK,0.3799,NA,0.0334,NA,NA,2020,2
TOOK,0.2362,NA,NA,NA,NA,2020,6
TOOK,NA,NA,NA,NA,0.0034,2020,6
TOOK,NA,0.0091,5e-4,NA,0.0035,2020,6
TOOK,0.2666,NA,0.0017,NA,0.0399,2020,6
TOOK,NA,0.0071,NA,NA,0.01695,2020,7
TOOK,0.2287,NA,0.0014,NA,NA,2020,7
TOOK,0.2648,NA,0.0131,NA,NA,2020,8
TOOK,0.2727,NA,NA,NA,NA,2020,8
TOOK,0.1871,NA,NA,NA,NA,2020,9
TOOK,0.2541,NA,NA,NA,NA,2020,9
TOOK,0.2121,NA,NA,NA,NA,2020,9
TOOK,0.243,NA,NA,NA,NA,2020,9
TOOK,0.2809,NA,4e-4,NA,NA,2021,3
TOOK,NA,NA,0.0034,NA,NA,2021,5
TOOK,0.2818,0.0172,NA,NA,NA,2021,6
TOOK,NA,NA,0.0064,NA,NA,2021,6
TOOK,NA,NA,0.0015,NA,NA,2021,6
TOOK,0.1555,NA,0.0028,NA,NA,2021,6
TOOK,NA,NA,3e-4,NA,NA,2021,7
TOOK,NA,NA,NA,1e-4,NA,2021,7
TOOK,0.1397,NA,0.0052,NA,0.002,2021,7
TOOK,0.1354,0.0063,7e-4,NA,NA,2021,7
TOOK,NA,0.0105,NA,NA,NA,2021,8
TOOK,NA,NA,NA,3e-4,NA,2021,8
TOOK,NA,NA,NA,NA,0.0286,2021,8
TOOK,NA,0.0101,NA,NA,NA,2021,9
TOOK,0.2168,NA,NA,NA,NA,2021,12
TOOK,0.1679,0.0082,NA,NA,NA,2022,3
TOOK,0.3283,NA,NA,NA,NA,2022,4
TOOK,NA,0.0044,NA,NA,0.0282,2022,5
TOOK,NA,0.0247,0.0127,9e-4,0.0239,2022,5
TOOK,NA,NA,NA,NA,0.0201,2022,5
TOOK,NA,NA,0.0107,NA,0.017,2022,5
TOOK,NA,0.0149,NA,NA,NA,2022,6
TOOK,0.2514,NA,NA,1e-4,NA,2022,6
TOOK,NA,NA,0.0037,NA,NA,2022,6
TOOK,NA,0.0068,NA,NA,NA,2022,6
TOOK,NA,0.0043,NA,0,NA,2022,6
TOOK,NA,0.006,NA,NA,NA,2022,6
TOOK,NA,0.0063,NA,NA,7e-4,2022,6
TOOK,NA,NA,NA,0,NA,2022,6
TOOK,0.2209,NA,NA,NA,NA,2022,7
TOOK,NA,NA,6e-4,NA,0.0022,2022,7
TOOK,0.1808,0.006,NA,NA,0.0031,2022,7
TOOK,NA,0.0163,NA,NA,NA,2022,8
TOOK,0.1752,NA,NA,NA,NA,2022,9
TOOK,0.2398,NA,NA,NA,NA,2022,9
TOOK,NA,NA,0.0055,NA,NA,2022,11
TOOK,NA,NA,0.0463,0.0029,NA,2022,12
TOOK,NA,0.00785,0.0058,NA,NA,2023,3
TOOK,0.2311,NA,0.0394,NA,NA,2023,4
TOOK,0.2611,NA,NA,5e-4,NA,2023,5
TOOK,NA,0.0231,NA,NA,NA,2023,5
TOOK,NA,0.013,NA,NA,NA,2023,6
TOOK,NA,NA,NA,NA,0.0293,2023,6
TOOK,0.2328,NA,NA,NA,NA,2023,6
TOOK,NA,0.0067,NA,NA,NA,2023,6
TOOK,NA,0.0065,NA,NA,NA,2023,7
TOOK,0.2495,0.0078,NA,NA,NA,2023,8
TOOK,NA,0.0067,NA,NA,NA,2023,8
TOOK,NA,NA,NA,3e-4,NA,2023,9
TOOK,NA,0.0072,NA,NA,NA,2023,9
TOOK,NA,NA,0.0077,NA,NA,2023,9
